label,study,manipulation,error.direction,comparison,population,n1i,m1i,sd1i,n2i,m2i,sd2i,yi,vi
DS_44,Abbas & North (2018),positive.f,negative,positive.to.control,adults,10,-63.26,9.35,10,-73.24,17.57,0.679099311324169,0.219211375088347
DS_78,Abe et al. (2011),rewards,negative,positive.to.control,adults,13,-1.96,0.576888204,12,-2.84,0.692820323,1.33481099591047,0.202252503429588
DS_69,Avila et al. (2012),social.comparison,positive,positive.to.control,children,16,49.09090909,16.16161616,16,35.75757576,15.35353535,0.824521164896777,0.137480133320082
RS_14,Bacelar et al. (2020),rewards,negative,positive.to.control,adults,25,-52.84,17.94,22,-50.11,11.68,-0.177325640733621,0.084363434731206
DS_40,Badami et al. (2012),positive.f,positive,enhanced.to.diminished,adults,20,52.2,12.35,20,41.55,12.05,0.855523517018391,0.110374355839412
DS_36,Bahmani et al. (2017),task.diff,negative,enhanced.to.diminished,children,15,-47.17741935,4.21655445,15,-56.97580645,8.901614949,1.36875523021353,0.179605383492887
DS_108,Bahmani et al. (2018),task.diff,positive,enhanced.to.diminished,specialp,9,8.67,0.53,8,8.57,0.33,0.214963025022811,0.235722606760255
RS_11,Barker et al. (2010),task.diff,positive,positive.to.control,adults,14,217.71,39.88,14,190.29,45.83,0.619674378111905,0.152093417508589
DS_29,Barzouka et al. (2007),self.model,positive,positive.to.control,children,16,9.06,9.31,18,12.39,8.01,-0.374378180734238,0.122921558139261
DS_48,Carter et al. (2016),positive.f,negative,enhanced.to.diminished,adults,10,-67.47,17.33,10,-71.45,24.37,0.180251822548486,0.204713934094297
DS_109,Chauvel et al. (2015),task.diff,negative,enhanced.to.diminished,adults,18,-27.36842105,10.04835952,18,-35.92105263,6.140664152,1.00424574720514,0.129598960852003
DS_31,Chiviacowsky & Drews (2014),concept.ab,positive,enhanced.to.diminished,children,20,37.44680851,20.93340234,20,31.27659574,15.22429261,0.330413008135908,0.102628421230358
RS_09,Chiviacowsky & Drews (2016),positive.f,negative,enhanced.to.diminished,adults,10,-31.395,14.708,10,-54.651,22.062,1.1878453654465,0.245058322530329
RS_04,Chiviacowsky & Harter (2015),task.diff,negative,positive.to.control,adults,18,-27.15447154,29.31906166,18,-29.59349593,18.97115754,0.0965752791108311,0.112623187369182
DS_41,Chiviacowsky & Wulf (2007),positive.f,positive,enhanced.to.diminished,adults,12,55.916,16.887,12,40.583,15.347,0.917440560593812,0.187464359679766
DS_50,Chiviacowsky et al. (2009),positive.f,positive,enhanced.to.diminished,older,11,44.9375,14.92481156,11,29,19.27788159,0.889304885834689,0.204510766236403
RS_08,Chiviacowsky et al. (2010),positive.f,negative,enhanced.to.diminished,children,13,-7.666,1.24,13,-7.615,1.856,-0.0312901652446853,0.156310467351717
